<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.20	22:30:00	2023.89	2024.32	2023.54	2024.22	185	0	25
2024.02.21	01:30:00	2023.77	2024.98	2023.76	2024.21	554	0	25
2024.02.21	02:00:00	2024.21	2024.26	2022.88	2023.62	929	0	25
2024.02.21	02:30:00	2023.62	2023.89	2023.35	2023.46	738	0	25
2024.02.21	03:00:00	2023.50	2025.54	2023.24	2025.34	1992	0	25
2024.02.21	03:30:00	2025.32	2026.05	2024.93	2025.32	2097	0	25
2024.02.21	04:00:00	2025.32	2027.76	2025.28	2027.56	1353	0	25
2024.02.21	04:30:00	2027.56	2029.11	2027.11	2027.85	2017	0	25
2024.02.21	05:00:00	2027.85	2030.01	2027.73	2029.84	1328	0	25
2024.02.21	05:30:00	2029.84	2030.83	2029.36	2030.48	925	0	25
2024.02.21	06:00:00	2030.47	2031.22	2030.23	2030.92	1196	0	25
2024.02.21	06:30:00	2030.89	2031.07	2030.04	2030.80	591	0	25
2024.02.21	07:00:00	2030.84	2031.42	2029.36	2030.27	989	0	25
2024.02.21	07:30:00	2030.28	2032.18	2030.18	2030.92	1537	0	25
2024.02.21	08:00:00	2030.92	2031.16	2029.41	2030.38	1450	0	25
2024.02.21	08:30:00	2030.45	2030.47	2029.15	2029.92	1055	0	25
2024.02.21	09:00:00	2029.92	2030.57	2028.64	2028.65	1252	0	25
2024.02.21	09:30:00	2028.67	2029.35	2028.34	2028.80	2375	0	25
2024.02.21	10:00:00	2028.82	2029.19	2027.57	2027.70	2804	0	25
2024.02.21	10:30:00	2027.70	2027.92	2026.15	2026.50	2354	0	25
2024.02.21	11:00:00	2026.46	2027.96	2025.89	2027.78	2588	0	25
2024.02.21	11:30:00	2027.79	2028.55	2027.05	2028.02	2590	0	25
2024.02.21	12:00:00	2028.03	2028.81	2027.81	2028.44	1884	0	25
2024.02.21	12:30:00	2028.44	2030.11	2028.28	2029.92	2261	0	25
2024.02.21	13:00:00	2029.91	2030.00	2027.32	2027.63	2111	0	25
2024.02.21	13:30:00	2027.60	2028.42	2027.32	2028.20	2014	0	25
2024.02.21	14:00:00	2028.20	2030.02	2027.90	2028.96	2236	0	25
2024.02.21	14:30:00	2028.96	2029.66	2028.20	2029.37	2233	0	25
2024.02.21	15:00:00	2029.38	2031.47	2027.54	2028.68	5544	0	25
2024.02.21	15:30:00	2028.78	2030.91	2027.94	2028.67	4242	0	25
2024.02.21	16:00:00	2028.66	2030.26	2028.36	2028.64	4578	0	25
2024.02.21	16:30:00	2028.63	2029.93	2026.98	2027.47	6341	0	25
2024.02.21	17:00:00	2027.42	2030.18	2026.62	2029.18	4365	0	25
2024.02.21	17:30:00	2029.19	2029.24	2024.03	2024.09	5206	0	25
2024.02.21	18:00:00	2024.08	2025.73	2023.18	2024.46	5295	0	25
2024.02.21	18:30:00	2024.46	2025.79	2023.54	2023.90	3662	0	25
2024.02.21	19:00:00	2023.90	2024.02	2021.45	2022.79	4123	0	25
2024.02.21	19:30:00	2022.80	2024.49	2021.97	2024.16	2946	0	25
2024.02.21	20:00:00	2024.18	2024.64	2021.51	2023.13	5191	0	25
2024.02.21	20:30:00	2023.14	2023.64	2021.44	2022.00	3473	0	25
2024.02.21	21:00:00	2021.94	2026.10	2019.99	2024.89	6272	0	25
2024.02.21	21:30:00	2024.88	2026.47	2024.62	2025.96	3720	0	25
2024.02.21	22:00:00	2025.90	2026.95	2024.07	2025.30	3478	0	25
2024.02.21	22:30:00	2025.30	2026.00	2024.26	2024.31	2344	0	25
2024.02.21	23:00:00	2024.32	2025.09	2023.90	2024.19	1285	0	25
2024.02.21	23:30:00	2024.18	2026.07	2023.99	2025.78	1164	0	19
2024.02.22	01:00:00	2025.66	2026.71	2025.50	2025.91	720	0	25
2024.02.22	01:30:00	2025.91	2026.20	2025.06	2025.60	981	0	25
2024.02.22	02:00:00	2025.65	2026.11	2025.02	2025.55	902	0	25
2024.02.22	02:30:00	2025.57	2026.67	2025.55	2026.40	1133	0	25
2024.02.22	03:00:00	2026.41	2027.82	2026.13	2027.31	2149	0	25
2024.02.22	03:30:00	2027.28	2028.51	2026.70	2026.98	2316	0	25
2024.02.22	04:00:00	2026.95	2028.31	2026.43	2026.86	1944	0	25
2024.02.22	04:30:00	2026.84	2028.29	2026.52	2027.69	1220	0	25
2024.02.22	05:00:00	2027.65	2028.25	2026.72	2026.81	937	0	25
2024.02.22	05:30:00	2026.81	2027.00	2026.04	2026.25	749	0	25
2024.02.22	06:00:00	2026.24	2027.46	2025.45	2027.31	860	0	25
2024.02.22	06:30:00	2027.37	2028.86	2027.37	2028.75	763	0	25
2024.02.22	07:00:00	2028.85	2029.96	2028.53	2029.04	1228	0	25
2024.02.22	07:30:00	2029.04	2029.33	2028.13	2028.36	1123	0	25
2024.02.22	08:00:00	2028.36	2030.14	2028.28	2029.78	1158	0	25
2024.02.22	08:30:00	2029.83	2030.52	2028.43	2029.20	1010	0	25
2024.02.22	09:00:00	2029.20	2030.53	2028.78	2030.51	1612	0	25
2024.02.22	09:30:00	2030.49	2031.95	2030.27	2031.42	2953	0	25
2024.02.22	10:00:00	2031.42	2034.86	2031.37	2033.70	5526	0	25
2024.02.22	10:30:00	2033.67	2034.32	2031.27	2033.21	3558	0	25
2024.02.22	11:00:00	2033.09	2033.11	2029.31	2029.68	3553	0	25
