<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.05.15	00:00:00	1729.01	1731.48	1728.87	1730.62	653	65700000	0
2020.05.15	00:30:00	1730.64	1731.04	1729.84	1730.21	320	0	11
2020.05.15	01:00:00	1730.48	1731.79	1728.69	1730.52	486	0	18
2020.05.15	01:30:00	1730.57	1730.96	1729.77	1730.22	462	0	26
2020.05.15	02:00:00	1730.20	1733.60	1729.97	1732.13	574	0	44
2020.05.15	02:30:00	1732.16	1734.04	1731.21	1732.66	797	0	19
2020.05.15	03:00:00	1732.64	1732.64	1729.08	1730.72	1405	0	18
2020.05.15	03:30:00	1730.72	1731.82	1729.17	1729.24	879	0	18
2020.05.15	04:00:00	1729.14	1734.40	1728.61	1733.34	2693	0	18
2020.05.15	04:30:00	1733.37	1733.90	1731.43	1732.49	1629	0	18
2020.05.15	05:00:00	1732.50	1734.26	1731.69	1733.49	1524	0	18
2020.05.15	05:30:00	1733.55	1733.98	1731.45	1732.46	1531	0	18
2020.05.15	06:00:00	1732.45	1733.26	1731.92	1733.09	817	0	40
2020.05.15	06:30:00	1733.41	1734.10	1731.66	1732.17	599	0	18
2020.05.15	07:00:00	1732.14	1732.21	1731.00	1731.79	756	0	25
2020.05.15	07:30:00	1731.84	1732.09	1730.28	1731.14	828	0	18
2020.05.15	08:00:00	1730.89	1732.95	1730.14	1732.78	947	0	18
2020.05.15	08:30:00	1732.79	1734.96	1732.21	1734.40	2221	0	18
2020.05.15	09:00:00	1734.44	1738.49	1734.15	1736.24	3291	0	18
2020.05.15	09:30:00	1736.19	1736.63	1733.70	1735.30	2462	0	18
2020.05.15	10:00:00	1735.31	1737.54	1733.55	1737.48	3215	0	18
2020.05.15	10:30:00	1737.51	1738.54	1735.27	1737.55	3382	0	18
2020.05.15	11:00:00	1737.38	1737.38	1734.84	1735.86	1683	0	18
2020.05.15	11:30:00	1735.81	1736.02	1733.22	1735.25	2363	0	18
2020.05.15	12:00:00	1735.18	1737.31	1734.79	1736.07	4117	0	18
2020.05.15	12:30:00	1736.01	1736.10	1734.21	1734.43	7377	0	18
2020.05.15	13:00:00	1734.44	1736.31	1730.13	1730.99	8324	0	18
2020.05.15	13:30:00	1731.02	1734.32	1730.31	1732.70	5734	0	18
2020.05.15	14:00:00	1732.76	1736.02	1731.72	1733.77	5689	0	18
2020.05.15	14:30:00	1733.79	1733.94	1730.73	1732.15	3860	0	18
2020.05.15	15:00:00	1732.19	1737.71	1732.00	1735.83	3189	0	18
2020.05.15	15:30:00	1735.91	1745.10	1735.28	1742.74	5235	0	18
2020.05.15	16:00:00	1742.76	1745.28	1741.00	1743.26	4118	0	18
2020.05.15	16:30:00	1743.22	1743.77	1737.39	1739.45	6609	0	18
2020.05.15	17:00:00	1739.54	1741.95	1733.58	1739.98	6702	0	18
2020.05.15	17:30:00	1740.15	1743.19	1738.44	1742.88	6858	0	18
2020.05.15	18:00:00	1742.93	1746.77	1741.49	1743.09	6007	0	18
2020.05.15	18:30:00	1743.05	1749.24	1742.68	1748.93	5109	0	18
2020.05.15	19:00:00	1748.93	1750.16	1745.69	1747.79	4594	0	18
2020.05.15	19:30:00	1747.73	1749.40	1747.16	1748.73	4060	0	18
2020.05.15	20:00:00	1748.83	1750.45	1746.40	1747.22	4790	0	18
2020.05.15	20:30:00	1747.25	1751.68	1746.87	1748.06	3238	0	18
2020.05.15	21:00:00	1747.86	1748.60	1740.85	1743.95	4516	0	18
2020.05.15	21:30:00	1743.88	1744.16	1739.75	1743.83	3259	0	18
2020.05.15	22:00:00	1743.76	1745.54	1743.01	1744.79	2609	0	18
2020.05.15	22:30:00	1744.67	1745.28	1742.09	1744.05	3143	0	18
2020.05.15	23:00:00	1743.80	1743.80	1741.55	1743.02	579	0	26
2020.05.15	23:30:00	1743.45	1744.32	1741.78	1741.90	446	0	32
2020.05.17	02:00:00	1745.19	1759.57	1742.10	1757.82	2232	356400000	0
2020.05.18	00:00:00	1745.19	1751.75	1742.10	1747.66	3577	198400000	0
2020.05.18	00:30:00	1747.66	1752.02	1743.53	1746.16	1080	0	11
2020.05.18	01:00:00	1746.64	1751.95	1745.59	1747.86	2777	0	18
2020.05.18	01:30:00	1747.92	1752.09	1743.49	1745.55	1794	0	18
2020.05.18	02:00:00	1745.78	1753.01	1745.63	1752.21	1670	0	19
2020.05.18	02:30:00	1752.11	1759.89	1751.34	1758.06	2421	0	18
2020.05.18	03:00:00	1758.06	1759.77	1757.07	1758.28	1510	0	19
2020.05.18	03:30:00	1758.20	1758.77	1753.51	1754.77	1395	0	18
2020.05.18	04:00:00	1754.77	1758.96	1753.69	1756.84	4176	0	18
2020.05.18	04:30:00	1756.89	1758.88	1755.64	1758.81	2378	0	31
2020.05.18	05:00:00	1758.85	1763.71	1757.67	1761.77	3076	0	18
2020.05.18	05:30:00	1761.74	1762.50	1760.52	1761.18	1474	0	18
2020.05.18	06:00:00	1761.17	1761.85	1759.77	1760.39	1256	0	19
2020.05.18	06:30:00	1760.40	1761.52	1760.00	1760.84	963	0	43
2020.05.18	07:00:00	1760.85	1761.24	1758.54	1760.52	1397	0	19
2020.05.18	07:30:00	1760.56	1761.29	1759.79	1760.51	1263	0	18
2020.05.18	08:00:00	1760.46	1761.44	1759.08	1760.58	909	0	18
2020.05.18	08:30:00	1760.58	1764.72	1760.15	1763.97	2379	0	18
2020.05.18	09:00:00	1763.97	1764.42	1761.89	1763.53	2360	0	21
2020.05.18	09:30:00	1763.52	1764.28	1760.32	1762.71	2517	0	18
2020.05.18	10:00:00	1762.68	1762.68	1758.98	1760.45	2984	0	18
2020.05.18	10:30:00	1760.49	1763.07	1760.35	1761.95	1984	0	18
2020.05.18	11:00:00	1761.97	1765.08	1761.65	1763.83	2123	0	18
2020.05.18	11:30:00	1763.85	1764.13	1760.63	1761.82	1889	0	28
2020.05.18	12:00:00	1761.70	1763.25	1759.91	1760.73	2206	0	18
2020.05.18	12:30:00	1760.69	1763.48	1758.43	1763.19	3198	0	18
2020.05.18	13:00:00	1763.16	1764.81	1762.16	1763.03	1602	0	18
2020.05.18	13:30:00	1763.03	1763.97	1761.51	1762.13	1625	0	18
2020.05.18	14:00:00	1762.17	1764.85	1762.12	1764.71	3035	0	18
2020.05.18	14:30:00	1764.70	1764.84	1760.37	1763.85	3001	0	18
2020.05.18	15:00:00	1763.87	1764.64	1750.96	1754.51	7960	0	18
2020.05.18	15:30:00	1754.52	1756.06	1747.80	1748.96	5883	0	18
2020.05.18	16:00:00	1748.71	1751.66	1740.82	1747.66	9524	0	18
2020.05.18	16:30:00	1747.63	1749.73	1731.87	1735.22	9663	0	18
2020.05.18	17:00:00	1735.28	1743.70	1732.22	1742.43	6510	0	18
2020.05.18	17:30:00	1742.43	1743.77	1739.87	1742.57	6472	0	18
2020.05.18	18:00:00	1742.60	1742.65	1727.50	1729.08	7893	0	18
2020.05.18	18:30:00	1729.10	1735.25	1728.90	1734.48	6225	0	18
2020.05.18	19:00:00	1734.62	1735.81	1727.72	1729.17	4913	0	18
2020.05.18	19:30:00	1729.10	1732.79	1728.47	1731.01	4164	0	18
2020.05.18	20:00:00	1730.91	1732.33	1728.01	1731.32	4173	0	18
2020.05.18	20:30:00	1731.39	1732.30	1729.37	1732.00	2595	0	18
2020.05.18	21:00:00	1732.04	1735.03	1730.76	1733.29	2951	0	21
2020.05.18	21:30:00	1733.28	1734.04	1731.67	1732.24	1884	0	18
2020.05.18	22:00:00	1732.22	1734.97	1732.18	1734.77	2073	0	18
2020.05.18	22:30:00	1734.77	1735.00	1729.51	1731.45	2841	0	18
